equipment_code,equipment_name,equipment_type,line_id,status,model,manufacturer,purchase_date,install_date,runtime_hours,temperature,pressure,speed
EQP-1001-01,注塑机A,注塑机,1,running,IM-2000A,厂商A,2023-01-15,2023-02-10,1560.5,45.3,65.2,1200.5
EQP-1001-02,输送带A,输送带,1,running,CV-100B,厂商B,2023-02-20,2023-03-05,1520.0,28.5,0.0,15.0
EQP-1001-03,检测设备A,检测设备,1,idle,DET-500C,厂商C,2023-03-10,2023-04-01,800.3,30.1,0.0,0.0
EQP-1002-01,冲压机A,冲压机,2,running,PM-3000A,厂商A,2022-11-05,2022-12-01,2100.8,55.2,85.3,850.0
EQP-1002-02,焊接机器人A,焊接机器人,2,maintenance,WR-500B,厂商B,2023-01-10,2023-01-25,1200.5,0.0,0.0,0.0
EQP-1002-03,切割机A,切割机,2,running,CM-800C,厂商C,2023-03-15,2023-04-05,600.7,48.9,72.1,950.2
EQP-1003-01,SMT贴片机A,SMT贴片机,3,error,SMT-4000A,厂商A,2023-04-01,2023-04-20,200.5,0.0,0.0,0.0
EQP-1003-02,回流焊炉A,回流焊炉,3,maintenance,REF-200B,厂商B,2023-02-28,2023-03-15,450.9,0.0,0.0,0.0
EQP-1003-03,AOI检测机A,AOI检测机,3,idle,AOI-300C,厂商C,2023-05-10,2023-05-25,150.2,25.8,0.0,0.0
EQP-1004-01,注塑机B,注塑机,4,stopped,IM-1500B,厂商B,2022-10-10,2022-11-01,1800.0,22.0,0.0,0.0
EQP-1004-02,机械臂A,机械臂,4,offline,RA-500A,厂商A,2023-05-01,2023-05-20,50.0,24.5,0.0,0.0
EQP-1004-03,喷涂设备A,喷涂设备,4,idle,SP-300B,厂商B,2023-06-01,2023-06-15,100.0,26.3,0.0,0.0
EQP-1005-01,CNC加工中心A,CNC加工中心,5,running,CNC-850A,厂商A,2023-03-01,2023-03-20,900.8,38.7,40.5,2000.8
EQP-1006-01,测试设备A,测试设备,6,running,TEST-100A,厂商A,2023-04-10,2023-04-25,300.2,29.5,0.0,500.5
EQP-1007-01,包装机A,包装机,7,error,PK-200A,厂商A,2022-12-05,2023-01-10,400.0,0.0,0.0,0.0
EQP-1008-01,装配机器人A,装配机器人,8,running,AR-600A,厂商A,2023-02-15,2023-03-01,1200.5,42.3,35.2,800.6
EQP-1009-01,喷涂机器人A,喷涂机器人,9,maintenance,SPR-400A,厂商A,2023-05-05,2023-05-20,80.5,0.0,0.0,0.0
EQP-1010-01,视觉检测系统A,视觉检测系统,10,running,VIS-500A,厂商A,2023-06-10,2023-06-25,50.3,27.8,0.0,300.2
