task_code,task_name,line_id,product_name,product_spec,quantity,completed_quantity,status,priority,start_time,end_time,actual_start_time,actual_end_time
TASK-1001,手机外壳生产1,1,手机外壳,A-001,1000,850,in_progress,8,2024-01-10 08:00:00,2024-01-20 18:00:00,2024-01-10 08:05:00,
TASK-1002,汽车零件生产1,2,汽车零件,B-002,500,500,completed,7,2024-01-05 08:00:00,2024-01-15 18:00:00,2024-01-05 08:10:00,2024-01-15 17:30:00
TASK-1003,电子元件生产1,3,电子元件,C-003,800,0,pending,6,2024-01-20 08:00:00,2024-01-30 18:00:00,,
TASK-1004,塑料制品生产1,4,塑料制品,D-004,1200,300,in_progress,5,2024-01-08 08:00:00,2024-01-25 18:00:00,2024-01-08 08:15:00,
TASK-1005,金属配件生产1,5,金属配件,E-005,600,480,in_progress,9,2024-01-12 08:00:00,2024-01-22 18:00:00,2024-01-12 08:20:00,
TASK-1006,测试生产1,6,测试样品,TEST-001,200,120,in_progress,4,2024-01-15 08:00:00,2024-01-18 18:00:00,2024-01-15 08:30:00,
TASK-1007,包装任务1,7,包装成品,PKG-001,800,0,cancelled,3,2024-01-01 08:00:00,2024-01-10 18:00:00,,
TASK-1008,装配任务1,8,装配产品,ASM-001,400,320,in_progress,8,2024-01-14 08:00:00,2024-01-24 18:00:00,2024-01-14 08:25:00,
TASK-1009,喷涂任务1,9,喷涂产品,SPR-001,300,0,pending,5,2024-01-25 08:00:00,2024-02-05 18:00:00,,
TASK-1010,检测任务1,10,检测产品,INS-001,150,120,in_progress,7,2024-01-16 08:00:00,2024-01-19 18:00:00,2024-01-16 08:35:00,
TASK-1011,手机外壳生产2,1,手机外壳,A-002,1500,0,pending,6,2024-02-01 08:00:00,2024-02-15 18:00:00,,
TASK-1012,汽车零件生产2,2,汽车零件,B-003,700,0,pending,7,2024-02-05 08:00:00,2024-02-20 18:00:00,,
